date,occupation,channel,place,gender,ageRange,experience,question_text,answer_text,answer_word_count,summary_text,summary_word_count,emotion,intent
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,디자이너로서 앞으로의 목표에 관해서 설명해 주세요,저는 디자이너로서 어 많은 경험들을 쌓아서 그것들을 토대로 제 개인 브랜드를 런칭하는 게 목표입니다. 어 회사에서 생활을 하다 보면 저의 개인적인 개성이 많이 무시당한다고 느낀 적이 많았습니다. 그래서 배웠던 것들을 토대로 제 개성을 살릴 수 있는 디자인 브랜드를 내고 싶습니다. 그리고 그 브랜드를 엄청 욕심 있게 크게 키우는 것이 아니라 제 혼자서 감당할 수 있는 선까지 키울 수 있는 그런 미래를 생각하고 있습니다.,63,저는 디자이너로서 경험들을 토대로 제 개인 브랜드를 런칭하는 게 목표입니다. 그 브랜드를 욕심있게 크게 키우는 것이 아니라 혼자서 감당할 수 있는 선까지 키울 수 있는 미래를 생각하고 있습니다.,28,,
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,협업을 할 때 사교성이 좋은 편인지 궁금합니다 그리고 또 사교성을 키우기 위해 어떤 노력을 하셨나요,저의 큰 단점이라고 할 수 있는데요. 저는 굉장히 성격이 내성적이고 처음 본 사람하고는 낯가림이 심하기 때문에 사실 그동안 협업하는 작업에서는 조금 겉도는 편이었습니다. 누군가 적극적으로 다가와 준다면 그거에 대해서 멀리한다거나 거절하진 않지만 제가 먼저 적극적으로 행동하는 편은 거의 없었습니다. 그래도 다행히 그동안은 어 작업 안에서 필요한 말만 해도 됐고 필요한 관계만 맺으면 돼서 크게 손해 봤던 것은 없지만 가끔 팀원들에게 조금만 더 적극적으로 이야기를 해주면 좋겠다 라는 피드백을 들었던 적은 있습니다. 나름대로 노력은 하고 있지만 아직도 어렵게 생각하고 있는 부분입니다.,80,내성적이고 낯가림이 심한 제 성격은 협업할 때 겉도는 편이지만 팀원들에게 좀 더 적극적으로 이야기를 해 달라는 피드백을 들었던 적이 있습니다. 아직도 어렵게 생각하고 있는 부분입니다.,25,n-shame,c_person
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,지원자님이 태어나서 지금까지 한 일들 가운데 가장 후회했던 일이 무엇인가요 한 가지만 골라 말씀해 주세요,어렸을 때 굉장히 친하게 지낸 친구가 있습니다. 어 제일 친하다고 생각했었고 모든 이야기를 공유하는 사이였습니다. 그래서 티비나 어떤 다른 사람들의 이야기에서 친구 관계가 갑자기 멀어질 수 있다는 그런 것들을 들었을 때 저한테는 전혀 생기지 않을 일이라고 생각했습니다. 그런데 성인이 되고 나서 어느 순간부터 그 친구와 굉장히 멀어지고 있다는 생각이 들었었어요. 그리고 그 멀어지는 이유에 그 친구가 저를 불편해 하고 있다 라는 걸 느꼈었는데 사실 그때는 자존심이 어 너무 커서 친구에게 직접적으로 그걸 물어보지 못했고 친구가 어떤 상황에 놓여있는지도 전혀 물어보지 않았었습니다. 어느 날 그 친구가 저의 연락을 끊기 시작했고 지금까지 연락이 되지 않고 있는데 그때 어떤 사연이었는지 묻지 못했던 것을 후회하고 있습니다.,102,"어릴적부터 친했던 친구가 있었는데, 성인이 되고 나서 그 친구와의 사이가 멀어지고 있다는 생각이 들었습니다. 그 친구가 저를 불편해 한다는 걸 느꼈는데, 직접적으로 물어보지 못했고 어떤 상황에 놓여있는지 전혀 물어보지 않았던 것을 후회하고 있습니다.",33,,
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,대학 생활을 보내면서 가장 힘들었던 경험은 무엇인가요 그것을 어떻게 극복하였는지 예시를 들어 말씀해 주십시오,저는 등록금을 마련하는 게 가장 힘들었습니다. 집에서 저의 대학 등록금을 마련해 줄 형편이 되지 못했기 때문에 저는 대학 생활을 하면서 학업 이외에 계속 아르바이트를 병행하며 생활비를 벌어야 했었고 방학이 되면은 다른 동기들은 자기 스펙을 쌓기 위해 집중적으로 시간을 가졌었는데 저는 방학이 되면 등록금을 마련할 방법을 찾아서 돈을 구하러 다녀야 했습니다. 그리고 그 등록금을 마련하는 다는 그리고 그 등록금을 마련하는 것은 적은 액수가 아니었기 때문에 저의 쉴 수 있는 온전한 시간들을 다 할애했어야 했었고 어떤 여가라던지 여행 같은 것들 그리고 개인적인 공부 같은 것들을 많이 놓칠 수 밖에 없었습니다. 사실 중간에 그만두고 싶던 생각도 많았는데 어떤 오기가 생겨서 그래도 무사히 졸업을 하게 됐었습니다.,102,"저는 대학 등록금을 마련하는 게 가장 힘들었습니다. 아르바이트를 병행하며 생활비를 벌어야 했고, 방학이 되면 등록금을 마련할 방법을 찾아 돈을 구하러 다녀야 했습니다. 시간을 할애하느라 개인적인 공부 같은 것들을 많이 놓칠 수 밖에 없었지만 다행히 성공적으로 졸업을 하게 됐습니다.",38,,c_private
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,가장 자신있는 작업은 무엇일까요,저는 손으로 만드는 것은 다 자신 있습니다. 깊게 배우지 않아도 어 뭔가를 만드는 거 손으로 어떤 것을 작업하는 거에 좀 능력이 뛰어난 편이고요. 대충 한 번 훑으면 그것들을 어떤 식으로 작업해야 하는지 감이 좀 있는 편입니다. 그래서 처음 접하는 분야일지라도 손으로 만들어야 하는 작업이라면 마음 편하게 할 수 있고 두려움이 없는 편입니다.,52,처음 접하는 분야라도 손으로 만드는 작업이라면 마음 편하게 할 수 있고 두려움이 없는 편입니다. 이는 제가 손으로 만드는 것에 자신감 있기 때문입니다.,22,,
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,최근에 재밌게 하고 있는 일이 무엇인가요 그리고 그 일이 왜 재밌는지도 함께 이야기해 주세요,저는 건강이 좀 안 좋아졌던 시기가 있었습니다. 조금 과로했던 탓에 신체 활동이 굉장히 능력이 저하됐었고 소화도 잘 안 됐었고 부정적인 생각도 되게 많이 했었습니다. 그래서 그것들을 좀 벗어나고자 운동을 시작했고 운동을 너무 재미없게 하는 게 싫어서 어 정말 최근에는 등산을 시작하기 등산을 시작했습니다. 처음에는 조금 수월한 산들을 많이 다녔구요. 등산을 조금씩 시작하면서 등산 장비도 구입하는 재미에 빠져 있습니다. 어떤 산에 오르느냐에 따라서 등산화를 다르게 구입할 수 있는 점이 굉장히 재미있었구요. 무엇보다 그 아이템들을 사기 위해서 일을 정말 열심히 해야 한다는 생각이 들기 때문에 저에게 어떤 동기부여도 되고 있습니다. 그래서 이번 주 토요일에도 친구들과 등산을 갈 예정입니다.,96,"건강을 위해 운동을 시작했고, 지루한 운동은 피하기 위해 등산을 시작했습니다. 처음에는 수월한 산들을 많이 다녔고, 등산 장비를 구입하는 재미에 빠져있습니다. 어떤 산에 오르느냐에 따라 등산화를 다르게 구입할 수 있어 동기부여가 됩니다.",31,p-interest,c_private
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,디자인을 할 때 가장 중요하게 생각하는 점이 무엇인가요,저는 현실성이라고 생각합니다. 현실적으로 이 디자인이 제품으로 나올 때까지 어 너무 오래 걸리지 않고 무리하지 않는 선에서 나올 수 있는 지를 중요하게 생각합니다. 사실 예술가라는 부분에서 접근을 한다면 이 디자인 개념이 조금 더 추상적이어도 괜찮고 시간이 오래 걸려도 괜찮고 공간을 비현실적으로 차지해도 괜찮다고 생각하지만 제가 하려고 하는 일은 그런 분야가 아니기 때문에 조금 더 실용성에 맞춰져야 한다고 생각을 하고 그 실용성에 맞춰지려면 디자인에서부터 나올 때까지 현실적으로 모든 시스템들이 가동되어야 한다고 생각을 합니다. 그렇기 때문에 제가 디자인을 하면서도 이게 과연 제작될 때 큰 방해 요소를 갖고 있지는 않는지 등을 꼼꼼하게 체크해 보는 편입니다. 그리고 평소에 친구들에게 다양한 디자인들을 보여주면서 다수의 취향을 파악하는 편입니다.,102,디자인 개념 자체가 추상적이거나 시간이 오래 걸려도 괜찮은 분야가 아니기 때문에 디자인에서부터 나올 때까지 현실적으로 모든 시스템들이 가동되어야 한다고 생각합니다. 그래서 디자인 하면서도 제작될 때 방해 요소가 있는지 등을 꼼꼼하게 체크해 보는 편입니다.,33,,c_value
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,지원자께서는 생활 대학 생활을 보내면서 가장 힘들었던 경험은 무엇이었습니까 그것을 어떻게 극복했는지도 설명 부탁드리겠습니다,저는 대학 생활 중에 제가 원치 않는 술자리를 항상 필수로 참여해야 했던 것이 가장 힘들었었습니다. 사실 저는 좀 강압적인 분위기에 과를 나왔고요. 당시에 과 대표를 맡고 있었을 때 다른 동기들은 다 자취를 하고 있었는데 저는 서울에서 통학을 하고 있었습니다. 그래서 항상 어 집에 가야 하는 시간이 됐는데도 선배들이 부르는 호출에 과대표로서 그 자리에 빠질 수가 없었고 항상 참여하여 억지로 술을 좀 마셨던 기억들이 있습니다. 그렇게 자리에 참여하다 보면 그 자리에 오지 않는 동기들을 제가 챙기기도 했어야 했었고 혹은 그 자리에서 술이 많이 취해서 집에 갈 수 없는 동기들까지 제가 항상 뒷 마무리를 하고 집에 갔던 기억이 있습니다. 통학인 만큼 그런 자리에 한번 가게 되면 저의 집으로는 갈 수 없기 때문에 자취하는 동기네서 항상 잤던 기억이 있습니다. 학업에 좀 많이 방해가 됐던 일이어서 사실 그 당시에 왜 끊어내지 못했을까 하는 후회도 있습니다.,131,대학 생활 중 강압적인 분위기에 과를 대표로서 항상 참여해야 했던 것이 가장 힘들었습니다. 자리에 참여하다 보면 그 자리에 오지 않는 동기들을 제가 챙기기도 했어야 했거나 그 자리에서 술이 많이 취해서 집에 갈 수 없는 동기들까지 항상 뒷 마무리를 하고 집에 갔던 기억이 있습니다.,43,,
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,많은 사람들과 함께 일을 하다 보면 구성원들과의 갈등이 생기기 마련입니다 이러한 갈등이 생길 때 지원자님께서는 어떻게 해결하시나요,저는 어 그 갈등의 요인들을 사실 그 자리에서 바로바로 풀지는 못했었던 것 같습니다. 항상 그 현재 하고 있는 일에 시간이 쫓기다 보니깐 분명히 갈등이 있었음에도 서로 좀 그것들을 모른 척하면서 그 시간에 쫓기면서 지나갔던 경우가 많아서 보통은 같이 진행하고 있는 일들을 끝낸 후에 한 차례 좀 마무리가 됐을 때 숨을 좀 돌릴 수 있을 때 그때 진솔하게 좀 대화를 나누는 편입니다. 사실 그 작업을 하는 도중에 어 갈등이 발생하고 그걸 그 자리에서 풀려고 할 때 꽤 저도 모르게 그리고 저 말고 상대방도 자신도 모르게 감정적으로 좀 화를 내는 경우도 많고 사실은 하지 않아도 될 말들을 할 때가 많았기 때문에 보통은 한 차례 작업이 마무리됐을 때 좀 따로 시간을 내서 그 구성원들과 대화를 좀 하는 편입니다. 그러면 대체적으로 서로의 행동들이 좀 이해가 가기도 하고 화해가 많이 이루어지는 편입니다.,127,갈등요인들을 바로바로 풀지 못해서 보통 한 차례 작업이 마무리됐을 때 진솔하게 좀 대화를 나누는 편입니다. 그 작업을 하는 도중에 갈등이 발생하고 그걸 그 자리에서 풀려고 할 때 대부분 따로 시간을 내서 구성원들과 대화를 좀 하면 대체적으로 화해가 많이 이루어집니다.,39,,c_confl_mg
20230116,ARD,MOCK,ONLINE,FEMALE,35-44,EXPERIENCED,지금까지 인생을 살면서 지원자님은 가장 후회되는 일이 있다면 어떤 일이 있었나요 한 가지만 말씀해 주세요 그런 거를 가 하니,저는 이상하게 어릴 때부터 그렇게 후회하면서 살지 않았기 때문에 딱히 후회하는 일이 없습니다. 사실 좀 계획적으로 삶을 살아오기도 했었고 어 제가 놓쳤던 부분들 성과를 내지 못했거나 혹은 관계 안에서 실수를 했다거나 그리고 그런 것들로 인해서 좋은 기회를 날렸거나 관계가 어그러졌거나 좋은 사람을 잃거나 그런 경우들이 없다고는 할 수 없는데요. 사실 그런 순간들 그런 일들이 저한테 닥쳐도 막상 제 성향 자체가 그것들을 되돌릴 수 없다 라는 그 성향이 강한 것 같아요. 그리고 항상 과거를 좀 돌아보고 싶어하지 않아 하고 항상 현재 좀 머물러 있고 싶어 합니다. 그래서 사실 앞일도 계획은 많이 하지만 앞일도 막 이랬으면 좋겠다. 치열하게 막 강박을 갖는 편도 아니라서 항상 저는 좀 현실에 충실하고자 하고 지나가는 일에 후회를 하는 편이 없고 그래서 그런지 정말 아무리 곱씹어 봐도 딱히 후회되는 일이 찾기 어렵습니다.,124,어릴 때부터 그렇게 후회하면서 살지는 않았기 때문에 딱히 후회하는 일이 없습니다. 사실 계획적으로 삶을 살아오기도 했었고 놓쳤던 부분들에 대해서는 제 성향 자체가 되돌릴 수 없다 라는 성향이 강해서 항상 과거를 좀 돌아보고 싶어하지 않고 항상 현재에 머물러 있고 싶어 해서 딱히 후회되는 일이 찾기 어렵습니다.,45,,
